Huc 4th Name,Huc 5th Name,Huc 6th Code,Huc 6th Name,Total HUC Area   ,FS HUC Area,Total Perennial Stream Length,Total ECA Area,Perennial Stream Length Under Non-shading Covertypes,0 - 2% Gradient Perennial Stream Length,0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Perennial Stream Length w/in 300' of Roads,Total Road Length,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of HUC over External FS Boundary ,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density Rating,Barriers by Stream Order  Rating,RCA,Drainage Network,Road Density / Location,Barriers,Large Woody Debris,Sediment,Embeddedness,Temperature,Off-channel Habitat,Floodplain Connectivity,Streambank Stability,Width-Depth Ratio,Peak/Base Flows,Pool Frequency/Quality,Large Pools,INTEGRATED 6th Level HUC Rating
Flint-Rock,Bear Creek-Clark Fork ,170102020609,Antelope Creek,12027.34668,3.632348537,0,0,0,0,0,0,0,0,0,0.030200747,0,0,0,0,0,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,UNK,FA,FA,FA,FA,FA,FA,FA,FUR
Flint-Rock,Lower Flint Creek,170102020505,Barnes Creek,13664.82227,1226.920166,0.944162548,45.99893877,0,0,0,0.01091484,3.703903675,0,0,8.978676354,3.749138701,0,0,1.156033993,1.932072206,0,0,FA,FA,FA,FA,FAR,FA,FA,FAR,FA,FA,FA,FAR,FAR,FA,FA,FAR,FAR,FAR,FAR,FA,FA,FAR
Upper Clark Fork,Headwaters Silver Bow Creek ,170102010201,Basin Creek,26764.3418,13703.69922,10.23295689,265.9884714,6.48485899,0.192085281,0.081197545,2.189091444,21.04013824,0,0,51.20133094,1.940997589,63.37228877,42.27161216,21.39256001,0.982631643,0,0,FA,FUR,FUR,FUR,FA,FA,FUR,FA,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
Upper Clark Fork,Headwaters Silver Bow Creek ,170102010203,Berkley Pit-Silver Bow Creek,15983.50879,2748.430664,1.027100682,36.76975822,0.369923592,0.000215783,0,0.081910804,9.612579346,0,0,17.19541497,1.337845582,36.01629309,0,7.974953715,2.23838675,0,0,FA,FUR,FA,FAR,FAR,FA,FAR,FAR,FAR,FA,FUR,FAR,FAR,FAR,FUR,FAR,FAR,FAR,FAR,FUR,FUR,FUR
Upper Clark Fork,Headwaters Silver Bow Creek ,170102010202,Blacktail Creek,24509.61914,14442.66211,14.24050903,238.5398429,3.858224154,0.922255397,0.407443374,3.647171736,40.98799515,0,1,58.92650566,1.651633481,27.09330225,44.17901758,25.61124556,1.816307596,0,1,FA,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Upper Clark Fork,Browns Gulch,170102010103,Bull Run Creek-Browns Gulch,19581.14453,1821.303345,0.747126281,39.51766968,0.747126222,0,0,0.608210564,10.26414204,0,0,9.301311995,2.169746725,99.9999921,0,81.40666169,3.606785725,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Upper Clark Fork,Town of Deerlodge-Clark Fork,170102010702,Caribou Creek-Clark Fork ,25413.47461,4522.613281,4.545851231,144.1532635,3.539001226,0,0,2.483469486,27.44493675,0,0,17.79612332,3.187388674,77.85123283,0,54.63156095,3.883763309,0,0,FA,FUR,FA,FUR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flint-Rock,Middle Fork Rock Creek,170102020803,Carpp Creek,11354.80664,11313.59863,19.77915192,1482.290179,3.278582573,1.514281154,0,0.66325587,5.467692375,0,0,99.63708752,13.1018452,16.57595122,0,3.353307931,0.309302392,0,0,FA,FAR,FA,FA,FA,FA,FA,FA,FA ,FA,FAR,FA,FA,FA,FAR,FA,FA,FA,FA,FAR,FAR,FA
Flint-Rock,Middle Fork Rock Creek,170102020801,Copper Creek,17818.38086,17730.33008,22.89455032,6942.437667,2.83277607,6.032525063,6.032525063,3.046810627,13.54185963,3,0,99.50584298,39.15571586,12.37314571,100,13.30801691,0.488811552,3,0,FAR,FAR,FUR,FAR,FA,FAR,FUR,FA,FAR,FAR,FAR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FAR,FAR,FUR
Upper Clark Fork,Town of Deerlodge-Clark Fork,170102010706,Cottonwood Creek,26480.56641,18468.27344,28.81430435,596.1719776,6.069534302,0,0,7.333381176,51.05356979,2,1,69.74274324,3.228087236,21.06430969,0,25.45048836,1.769211658,2,1,FA,FAR,FA,FUR,FAR,FUR,FAR,FAR,FUR,FUR,FUR,FUR,FUR,FA,FUR,FUR,FAR,FAR,FAR,FUR,FUR,FUR
Upper Clark Fork,Town of Deerlodge-Clark Fork,170102010701,Dempsey Creek,18177.31445,11224.4082,11.21042061,43.7947339,7.359581947,0.116611205,0,2.726135015,11.2428484,0,0,61.74954079,0.390174102,65.64947207,0,24.31786558,0.641051434,0,0,FA,FUR,FA,FUR,FA,FA,FUR,FA,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
Flint-Rock,Lower Flint Creek,170102020503,Douglas Creek,9403.942383,4347.513184,6.616250992,130.3465704,0,0,0,4.21343708,27.72330666,1,0,46.23075097,2.998186892,0,0,63.68315055,4.081164452,1,0,FA,FA,FA,FUR,FUR,FAR,FAR,FUR,FUR,FAR,FAR,FUR,FUR,FA,FAR,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Upper Clark Fork,Warm Springs Creek-Clark Fork ,170102010404,Dry Cottonwood Creek,14977.77344,8484.143555,11.27074718,256.2475849,9.406383514,0,0,7.110453129,44.34476089,2,0,56.64489177,3.020311753,83.45838447,0,63.0876819,3.345139882,2,0,FA,FUR,FA,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Upper Clark Fork,Gold Creek- Clark Fork ,170102010810,Dunkleberg Creek-Clark Fork,28056.66016,3378.757324,4.688261986,98.20601302,1.797293663,0.079799689,0.079799689,2.719158888,19.19232941,4,0,12.04262127,2.906571961,38.33603302,100,57.99929475,3.63538711,4,0,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
