site_id,rch_id,stream,samp_date,yr,project,type,panel_yr,huc6,site_name,group,order,region,forest,district,state,lat,long,mgmt,strm_flow,total_index,index_suspect,tds,bf,rch_len,grad,sin,pool_dp,pool_frq,pool_pct,wd_trans,wd_wet_trans,d50,pt_fines2,pt_fines6,stab,veg_stab,bank_angle,un_cut_pct,lw_frq,lw_vol,rich,cling,long_lvd,ct_qd,ephet,plect,trict,intol,rivpacs,temp_days,wmt_days,start_date,end_date,avg_temp,mdmt,mwmt,wmt9,wmt12,wmt15,wmt18,wmt22,aug_et_2000_2015_cpg_all,awc_int_100_cpg_all,baseflow_index_cpg_all,clay_100_cpg_all,dwta_cpg_all,fac_taudem_17all_int,impermeable_100_cpg_all,jul_et_2000_2015_cpg_all,nlcd_2011_forest_100_cpg_all,nlcd_2011_wetlands_100_cpg_all,permeable_100_cpg_all,sand_100_cpg_all,sep_et_2000_2015_cpg_all,silt_100_cpg_all,slope_percent_int_cpg_all,streamslope_percent_int_cpg_all,swe_avg_0301_cpg_all,swe_avg_0401_cpg_all,swe_avg_0501_cpg_all,swe_avg_0601_cpg_all,swe_avg_0701_cpg_all,swe_avg_0801_cpg_all,twi_100_int_cpg_all,us_precip_1981_2010_cpg_all,us_tmax_1981_2010_int_cpg_all,spatial_cluster,utm1,utm2,drain_density,ave_ann_cwd,ave_annual_precip,ave_basin_elev,MAP_UNIT_N
73,87,Quartz,2002-06-07T00:00:00Z,2002,CRB,I,2,170102150704,014-06-I,014,06,R1,Panhandle,Priest Lake,ID,48.339383,-116.92597,Managed,NA,5.49765886572154,NA,50,1.57,82,NA,1.19,0.2280000001192093,182.9268292682927,48.17073185269425,4.01,7.07,0.004,NA,100,100,88.1,96,28.95,195.12,26.003,27,12,8,75,6,9,5,8,0.798,48,42,2002-07-15T00:00:00Z,2002-08-31T00:00:00Z,10.121197899182638,12.15999984741211,11.658571652003697,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,3619,Quartz,2007-06-17T00:00:00Z,2007,CRB,I,2,170102150704,014-06-I,014,06,R1,Panhandle,Priest Lake,ID,48.339383,-116.92597,Managed,Flow (whole reach),0,NA,50,2.05,162.6,0.584,1.233,0.227272724902088,135.30135301353013,58.118080667610684,5.36,12.11,0.002,98.66,99.82,100,73.81,95,35.71,116.85,10.298,20,5,3,72,4,5,4,3,0.332,48,42,2007-07-15T00:00:00Z,2007-08-31T00:00:00Z,11.00078125215239,13.399999618530273,12.857142720903669,42,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,6518,Quartz,2012-06-25T00:00:00Z,2012,CRB,I,2,170102150704,014-06-I,014,06,R1,Panhandle,Priest Lake,ID,48.339383,-116.92597,Managed,Flow (whole reach),NA,NA,40,6.98,149.5,0.455,1,0.9699999809265136,33.4448160535117,100,20.12,20.76,0.002,NA,NA,100,100,124,27.78,86.96,7.256,7,0,1,75,2,0,0,0,0.132981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,9574,Quartz,2017-06-18T00:00:00Z,2017,CRB,I,2,170102150704,014-06-I,014,06,R1,Panhandle,Priest Lake,ID,48.339383,-116.92597,Managed,Flow (whole reach),10.0646685831726,NA,50,2.24,149.3,0.409,1.254,0.4293750077486038,107.16677829872738,71.8017421308493,4.26,4.45,0.002,99.95,100,94.44,66.67,99,30.56,154.05,11.918,28,10,9,77,4,3,2,5,0.482212,48,42,2017-07-15T00:00:00Z,2017-08-31T00:00:00Z,14.461979168984625,20.200000762939453,19.385714394705637,42,42,42,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,90,Hughes,2001-08-15T00:00:00Z,2001,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,NA,NA,NA,90,9.1,202.8,0.266,1.152,1.1199999898672104,19.723865877712033,86.09467568482168,26.3,100.27,0.024,NA,NA,90.48,90.48,87,47.37,300.79,93.744,27,20,3,57,13,8,5,15,1.028,48,42,2001-07-15T00:00:00Z,2001-08-31T00:00:00Z,8.55205723643303,12.930000305175781,12.821428843906947,42,9,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
75,91,Hughes,2002-07-16T00:00:00Z,2002,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,NA,79.9515731594089,NA,70,10.65,246.5,0.252,1.182,1.0350000063578289,24.34077079107505,82.83975651491487,20.45,36.49,0.015,NA,27.67,93.75,60.42,75,65.96,259.63,108.246,22,15,2,55,12,7,4,14,0.808,48,42,2002-07-15T00:00:00Z,2002-08-31T00:00:00Z,8.803315920548307,13.319999694824219,13.04285717010498,42,9,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
75,92,Hughes,2004-07-01T00:00:00Z,2004,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,NA,80.5923057986653,NA,100,8.5,212,0.193,1.183,1.1420000195503235,23.58490566037736,80.09434016245716,NA,NA,0.013,7.17,18.17,92.86,66.67,83,59.46,226.42,60.536,17,14,2,51,10,7,4,13,0.881,48,42,2004-07-15T00:00:00Z,2004-08-31T00:00:00Z,9.388802083002197,13.600000381469727,12.857142720903669,42,19,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
75,93,Hughes,2003-06-22T00:00:00Z,2003,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,NA,NA,NA,100,9.47,217,0.189,1.22,0.9939999938011169,23.041474654377883,78.80184419693485,29.78,50.1,0.014,10.52,19.2,85.71,45.24,87,47.37,NA,NA,27,18,2,56,11,7,8,15,0.881,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,9.900347245236238,14.600000381469727,14.142857006617955,48,41,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
75,1781,Hughes,2005-07-13T00:00:00Z,2005,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,NA,76.55924,NA,50,8.83,212,0.217,1.156,1.0459999799728394,23.58490566037736,80.33019056860006,27.07,80.5,0.01,11.73,19.87,83.33,78.57,82,65,212.26,55.441,15,12,3,69,4,3,5,7,0.661,48,42,2005-07-15T00:00:00Z,2005-08-31T00:00:00Z,9.15451390379005,13.399999618530273,12.942857197352819,42,23,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
75,2132,Hughes,2006-06-29T00:00:00Z,2006,CRB,IS,5,170102150103,015-06-IS,015,06,R1,Panhandle,Priest Lake,ID,48.865993,-117.005263,Reference,Flow (whole reach),79.00316,NA,100,9.86,207.1,0.174,1.163,1.2099999338388443,19.31434089811685,75.37421461811739,15.88,53.48,0.018,19.67,19.83,95.24,85.71,90,45.24,164.17,90.685,23,20,5,52,10,5,8,14,0.808,48,42,2006-07-15T00:00:00Z,2006-08-31T00:00:00Z,9.58723959285352,14.5,13.900000163487025,42,34,0,0,0,118,10,70,637,132,44451,34,131,98,0,66,6060,44,3288,40,28,408,479,449,154,18,0,666,120145,942,2,-1546802.0923935515,3045143.9415031127,1.54,153.89,1217.84,1339.37,Okanogan Highland
